2016-09-04 11:17:54 sys_log : [ERROR]   error wait for 允许：允许android.widget.Button
2016-09-04 11:17:55 sys_log : [ERROR]   允许   clicked!!
2016-09-04 11:18:05 sys_log : [INFO] click -> //android.widget.LinearLayout[@resource-id='com.alibaba.aliyun:id/fragment_footer_menu']//android.widget.RelativeLayout[4]//android.widget.ImageView
2016-09-04 11:18:06 sys_log : [INFO]       -> text:
2016-09-04 11:18:06 sys_log : [INFO]       -> location(909, 1793)
2016-09-04 11:18:18 sys_log : [INFO] click -> com.alibaba.aliyun:id/login
2016-09-04 11:18:18 sys_log : [INFO]       -> text:立即登录
2016-09-04 11:18:18 sys_log : [INFO]       -> location:(444, 453)
2016-09-04 11:18:29 sys_log : [INFO] input -> com.alibaba.aliyun:id/accountCompleteTextView, sendKeys -> 528437847@qq.com
2016-09-04 11:18:48 sys_log : [INFO] input -> com.alibaba.aliyun:id/content, sendKeys -> v73alice
2016-09-04 11:19:04 sys_log : [INFO] click -> com.alibaba.aliyun:id/loginButton
2016-09-04 11:19:04 sys_log : [INFO]       -> text:登录
2016-09-04 11:19:04 sys_log : [INFO]       -> location:(30, 635)
2016-09-04 11:19:26 sys_log : [INFO] 	1
2016-09-04 11:19:26 sys_log : [INFO] 		1
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:1
2016-09-04 11:19:26 sys_log : [INFO] 	2
2016-09-04 11:19:26 sys_log : [INFO] 		2
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:2
2016-09-04 11:19:26 sys_log : [INFO] 	3
2016-09-04 11:19:26 sys_log : [INFO] 		3
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:3
2016-09-04 11:19:26 sys_log : [INFO] 	4
2016-09-04 11:19:26 sys_log : [INFO] 		4
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:4
2016-09-04 11:19:26 sys_log : [INFO] 	5
2016-09-04 11:19:26 sys_log : [INFO] 		5
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:5
2016-09-04 11:19:26 sys_log : [INFO] 	6
2016-09-04 11:19:26 sys_log : [INFO] 		6
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:6
2016-09-04 11:19:26 sys_log : [INFO] 	7
2016-09-04 11:19:26 sys_log : [INFO] 		7
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:7
2016-09-04 11:19:26 sys_log : [INFO] 	8
2016-09-04 11:19:26 sys_log : [INFO] 		8
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:8
2016-09-04 11:19:26 sys_log : [INFO] 	9
2016-09-04 11:19:26 sys_log : [INFO] 		9
2016-09-04 11:19:26 sys_log : [INFO] 			push a element to stack--
2016-09-04 11:19:26 sys_log : [INFO] 			      info:android.widget.RelativeLayout,,,com.alibaba.aliyun:id/profile,9
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:9
2016-09-04 11:19:26 sys_log : [INFO] 	10
2016-09-04 11:19:26 sys_log : [INFO] 		10
2016-09-04 11:19:26 sys_log : [INFO] 		10
2016-09-04 11:19:26 sys_log : [INFO] 		10
2016-09-04 11:19:26 sys_log : [INFO] 		9
2016-09-04 11:19:26 sys_log : [INFO] 			push a element to stack--
2016-09-04 11:19:26 sys_log : [INFO] 			      info:android.widget.ImageView,,,com.alibaba.aliyun:id/message_button,9
2016-09-04 11:19:26 sys_log : [INFO] 		9
2016-09-04 11:19:26 sys_log : [INFO] 		9
2016-09-04 11:19:26 sys_log : [INFO] 			push a element to stack--
2016-09-04 11:19:26 sys_log : [INFO] 			      info:android.widget.LinearLayout,,,com.alibaba.aliyun:id/my_live,9
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:9
